"Countries, territories and areas",Year, Both sexes, Male, Female, Both sexes.1, Male.1, Female.1, Both sexes.2, Male.2, Female.2,Code
Estonia,2005,42.1 [34.4-49.8],55.4 [44.9-66.0],28.7 [24.0-33.5],37.6 [31.4-43.8],49.4 [41.1-57.6],25.8 [21.7-30.0],34.1 [27.5-40.8],45.3 [36.8-53.7],23.0 [18.2-27.8],233
Eswatini,2005,11.5 [9.0-14.0],18.9 [14.9-23.0],4.1 [3.1-5.1],9.4 [7.3-11.6],16.2 [12.6-19.7],2.7 [1.9-3.6],8.2 [6.1-10.3],15.0 [11.3-18.7],1.5 [0.9-2.0],748
Ethiopia,2005,6.0 [4.6-7.4],10.4 [8.1-12.7],1.6 [1.1-2.1],4.4 [3.3-5.4],7.9 [6.2-9.6],0.8 [0.5-1.1],3.7 [2.8-4.6],7.0 [5.3-8.6],0.4 [0.2-0.5],231
Fiji,2005,31.8 [23.5-40.1],48.3 [36.1-60.5],15.3 [10.9-19.6],31.8 [23.5-40.1],48.3 [36.1-60.5],15.3 [10.9-19.6],27.5 [18.0-37.0],41.8 [27.5-56.1],13.2 [8.6-17.8],242
Finland,2005,34.1 [28.0-40.2],42.6 [34.5-50.6],25.6 [21.5-29.7],25.7 [21.6-29.9],29.7 [24.6-34.8],21.8 [18.6-25.0],22.7 [18.4-26.9],26.5 [21.7-31.3],18.9 [15.2-22.6],246
France,2005,34.5 [28.1-40.9],38.2 [30.8-45.6],30.8 [25.4-36.2],34.5 [28.1-40.9],38.2 [30.8-45.6],30.8 [25.4-36.2],31.2 [24.7-37.7],34.7 [28.0-41.4],27.8 [21.5-34.0],250
Gambia,2005,19.5 [13.3-25.7],36.2 [24.9-47.5],2.7 [1.7-3.8],18.0 [13.1-22.9],35.2 [25.7-44.7],0.8 [0.5-1.2],15.1 [10.9-19.3],30.0 [21.7-38.2],0.3 [0.1-0.4],270
Georgia,2005,32.8 [26.9-38.7],59.7 [49.0-70.5],5.8 [4.7-7.0],32.8 [26.9-38.7],59.7 [49.0-70.5],5.8 [4.7-7.0],29.4 [23.1-35.7],53.5 [42.1-65.0],5.3 [4.2-6.4],268
Germany,2005,32.1 [27.3-37.0],35.9 [30.5-41.4],28.3 [24.0-32.5],32.1 [27.3-37.0],35.9 [30.5-41.4],28.3 [24.0-32.5],29.2 [24.1-34.3],32.1 [26.6-37.5],26.4 [21.7-31.1],276
Ghana,2005,6.0 [4.4-7.6],11.1 [8.3-14.0],0.8 [0.5-1.2],4.9 [3.7-6.1],9.2 [7.0-11.4],0.5 [0.3-0.7],4.0 [3.0-5.0],7.8 [5.9-9.7],0.2 [0.1-0.2],288
